Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
The Man in the Iron Mask,"$182,968,902","$56,968,902",31.1%,"$126,000,000",68.9%,1998
Cape Fear,"$182,291,969","$79,091,969",43.4%,"$103,200,000",56.6%,1991
The Haunted Mansion,"$182,290,266","$75,847,266",41.6%,"$106,443,000",58.4%,2003
The Monkey King Havoc in Heavens Palace,"$182,206,924",-,-,"$182,206,924",100%,2014
While You Were Sleeping,"$182,057,016","$81,057,016",44.5%,"$101,000,000",55.5%,1995
The Bridges of Madison County,"$182,016,617","$71,516,617",39.3%,"$110,500,000",60.7%,1995
From Vegas to Macau III,"$181,732,879",-,-,"$181,732,879",100%,2016
Poseidon,"$181,674,817","$60,674,817",33.4%,"$121,000,000",66.6%,2006
The First Wives Club,"$181,489,203","$105,489,203",58.1%,"$76,000,000",41.9%,1996
Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%,2021
Scooby-Doo 2: Monsters Unleashed,"$181,216,833","$84,216,833",46.5%,"$97,000,000",53.5%,2004
Hot Shots!,"$181,096,164","$69,467,617",38.4%,"$111,628,547",61.6%,1991
Road to Perdition,"$181,001,478","$104,454,762",57.7%,"$76,546,716",42.3%,2002
Kill Bill: Vol. 1,"$180,906,076","$70,099,045",38.8%,"$110,807,031",61.2%,2003
The Scorpion King,"$180,630,907","$91,047,077",50.4%,"$89,583,830",49.6%,2002
Sweet Home Alabama,"$180,622,424","$127,223,418",70.4%,"$53,399,006",29.6%,2002
Daddy's Home 2,"$180,613,824","$104,029,443",57.6%,"$76,584,381",42.4%,2017
Hacksaw Ridge,"$180,563,636","$67,209,615",37.2%,"$113,354,021",62.8%,2016
Deja Vu,"$180,557,550","$64,038,616",35.5%,"$116,518,934",64.5%,2006
The Post,"$180,419,276","$81,903,458",45.4%,"$98,515,818",54.6%,2017
Abominable,"$180,289,970","$60,826,390",33.7%,"$119,463,580",66.3%,2019
Dangerous Minds,"$179,519,401","$84,919,401",47.3%,"$94,600,000",52.7%,1995
The Dictator,"$179,379,533","$59,650,222",33.2%,"$119,729,311",66.8%,2012
The League of Extraordinary Gentlemen,"$179,265,204","$66,465,204",37.1%,"$112,800,000",62.9%,2003
Allegiant,"$179,246,868","$66,184,051",36.9%,"$113,062,817",63.1%,2016
Daredevil,"$179,179,718","$102,543,518",57.2%,"$76,636,200",42.8%,2003
City Slickers,"$179,033,791","$124,033,791",69.3%,"$55,000,000",30.7%,1991
He's Just Not That Into You,"$178,866,158","$93,953,653",52.5%,"$84,912,505",47.5%,2009
Eagle Eye,"$178,767,383","$101,440,743",56.7%,"$77,326,640",43.3%,2008
Along Came Polly,"$178,311,729","$88,097,164",49.4%,"$90,214,565",50.6%,2004
Flushed Away,"$178,281,554","$64,665,672",36.3%,"$113,615,882",63.7%,2006
Scary Movie 4,"$178,262,620","$90,710,620",50.9%,"$87,552,000",49.1%,2006
Dante's Peak,"$178,127,760","$67,127,760",37.7%,"$111,000,000",62.3%,1997
Brokeback Mountain,"$178,062,759","$83,043,761",46.6%,"$95,018,998",53.4%,2005
Patriot Games,"$178,051,587","$83,351,587",46.8%,"$94,700,000",53.2%,1992
Flubber,"$177,977,226","$92,977,226",52.2%,"$85,000,000",47.8%,1997
Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%,2017
Double Jeopardy,"$177,841,558","$116,741,558",65.6%,"$61,100,000",34.4%,1999
War Horse,"$177,584,879","$79,884,879",45%,"$97,700,000",55%,2011
Paranormal Activity 2,"$177,512,032","$84,752,907",47.7%,"$92,759,125",52.3%,2010
How to Lose a Guy in 10 Days,"$177,502,387","$105,813,373",59.6%,"$71,689,014",40.4%,2003
Alien vs. Predator,"$177,427,090","$80,282,231",45.2%,"$97,144,859",54.8%,2004
Hero,"$177,395,557","$53,710,019",30.3%,"$123,685,538",69.7%,2002
The 40-Year-Old Virgin,"$177,378,645","$109,449,237",61.7%,"$67,929,408",38.3%,2005
Lee Daniels' The Butler,"$177,313,795","$116,632,095",65.8%,"$60,681,700",34.2%,2013
The Haunting,"$177,311,151","$91,411,151",51.6%,"$85,900,000",48.4%,1999
The Descendants,"$177,243,185","$82,584,160",46.6%,"$94,659,025",53.4%,2011
The A-Team,"$177,238,796","$77,222,099",43.6%,"$100,016,697",56.4%,2010
Tootsie,"$177,200,000","$177,200,000",100%,$0,-,1982
In the Line of Fire,"$176,997,168","$102,314,823",57.8%,"$74,682,345",42.2%,1993
Analyze This,"$176,885,658","$106,885,658",60.4%,"$70,000,000",39.6%,1999
The Hitman's Bodyguard,"$176,600,207","$75,468,583",42.7%,"$101,131,624",57.3%,2017
Looper,"$176,506,819","$66,486,205",37.7%,"$110,020,614",62.3%,2012
Serial (Bad) Weddings,"$176,404,493",-,-,"$176,404,493",100%,2014
Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%,2019
Dr. Dolittle 2,"$176,104,344","$112,952,899",64.1%,"$63,151,445",35.9%,2001
The Italian Job,"$176,070,171","$106,128,601",60.3%,"$69,941,570",39.7%,2003
The Bucket List,"$175,372,502","$93,466,502",53.3%,"$81,906,000",46.7%,2007
Sleeping with the Enemy,"$174,999,005","$101,599,005",58.1%,"$73,400,000",41.9%,1991
Cowboys & Aliens,"$174,822,325","$100,240,551",57.3%,"$74,581,774",42.7%,2011
The Mule,"$174,804,407","$103,804,407",59.4%,"$71,000,000",40.6%,2018
George of the Jungle,"$174,463,257","$105,263,257",60.3%,"$69,200,000",39.7%,1997
Evan Almighty,"$174,440,724","$100,462,298",57.6%,"$73,978,426",42.4%,2007
Amélie,"$174,028,204","$33,225,499",19.1%,"$140,802,705",80.9%,2001
Identity Thief,"$173,965,010","$134,506,920",77.3%,"$39,458,090",22.7%,2013
The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,2018
Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%,2000
In Time,"$173,930,596","$37,520,095",21.6%,"$136,410,501",78.4%,2011
Operation Mekong,"$173,839,072","$800,012",0.5%,"$173,039,060",99.5%,2016
Anchorman 2: The Legend Continues,"$173,649,931","$127,352,707",73.3%,"$46,297,224",26.7%,2013
Creed,"$173,567,581","$109,767,581",63.2%,"$63,800,000",36.8%,2015
Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019
The Girl on the Train,"$173,185,859","$75,395,035",43.5%,"$97,790,824",56.5%,2016
