Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Bruce Almighty,"$484,592,874","$242,829,261",50.1%,"$241,763,613",49.9%,2003
Rio,"$483,866,518","$143,619,809",29.7%,"$340,246,709",70.3%,2011
Saving Private Ryan,"$482,349,603","$217,049,603",45%,"$265,300,000",55%,1998
Rise of the Planet of the Apes,"$481,800,873","$176,760,185",36.7%,"$305,040,688",63.3%,2011
Home Alone,"$476,684,675","$285,761,243",60%,"$190,923,432",40%,1990
Hotel Transylvania 2,"$475,186,706","$169,700,110",35.7%,"$305,486,596",64.3%,2015
Star Wars: Episode VI - Return of the Jedi,"$475,106,177","$309,306,177",65.1%,"$165,800,000",34.9%,1983
Charlie and the Chocolate Factory,"$474,968,763","$206,459,076",43.5%,"$268,509,687",56.5%,2005
Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806",41.6%,"$277,000,000",58.4%,1989
San Andreas,"$474,009,154","$155,190,832",32.7%,"$318,818,322",67.3%,2015
It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%,2019
Jaws,"$471,411,300","$260,758,300",55.3%,"$210,653,000",44.7%,1975
Wreck-It Ralph,"$471,222,889","$189,422,889",40.2%,"$281,800,000",59.8%,2012
Venom: Let There Be Carnage,"$469,618,406","$209,518,406",44.6%,"$260,100,000",55.4%,2021
The Hangover,"$469,310,836","$277,322,503",59.1%,"$191,988,333",40.9%,2009
The Lego Movie,"$468,060,692","$257,760,692",55.1%,"$210,300,000",44.9%,2014
Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%,2018
Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%,2021
Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%,2013
The Matrix,"$466,364,845","$171,479,930",36.8%,"$294,884,915",63.2%,1999
Gladiator,"$465,380,802","$187,705,427",40.3%,"$277,675,375",59.7%,2000
Pretty Woman,"$463,406,268","$178,406,268",38.5%,"$285,000,000",61.5%,1990
Cars,"$461,991,867","$244,082,982",52.8%,"$217,908,885",47.2%,2006
The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,2020
X-Men: The Last Stand,"$460,435,291","$234,362,462",50.9%,"$226,072,829",49.1%,2006
National Treasure: Book of Secrets,"$459,242,249","$219,964,115",47.9%,"$239,278,134",52.1%,2007
Lucy,"$458,863,600","$126,663,600",27.6%,"$332,200,000",72.4%,2014
Mission: Impossible,"$457,696,391","$180,981,856",39.5%,"$276,714,535",60.5%,1996
300,"$456,068,181","$210,614,939",46.2%,"$245,453,242",53.8%,2007
The Last Samurai,"$454,627,263","$111,127,263",24.4%,"$343,500,000",75.6%,2003
Demon Slayer: Mugen Train,"$452,974,619","$47,700,000",10.5%,"$405,274,619",89.5%,2020
Dying to Survive,"$451,183,391","$6,752",-,"$451,176,639",100%,2018
Ocean's Eleven,"$450,717,150","$183,417,150",40.7%,"$267,300,000",59.3%,2001
"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%,2019
Thor,"$449,326,618","$181,030,624",40.3%,"$268,295,994",59.7%,2011
Pearl Harbor,"$449,220,945","$198,542,554",44.2%,"$250,678,391",55.8%,2001
La La Land,"$448,906,865","$151,101,803",33.7%,"$297,805,062",66.3%,2016
Tarzan,"$448,191,819","$171,091,819",38.2%,"$277,100,000",61.8%,1999
Men in Black II,"$445,135,288","$193,735,288",43.5%,"$251,400,000",56.5%,2002
The Bourne Ultimatum,"$444,100,035","$227,471,070",51.2%,"$216,628,965",48.8%,2007
The Mummy Returns,"$443,280,904","$202,019,785",45.6%,"$241,261,119",54.4%,2001
Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",49.6%,"$223,525,393",50.4%,2009
Les Misérables,"$442,299,309","$148,809,770",33.6%,"$293,489,539",66.4%,2012
The Exorcist,"$441,306,145","$232,906,145",52.8%,"$208,400,000",47.2%,1973
Mrs. Doubtfire,"$441,286,195","$219,195,243",49.7%,"$222,090,952",50.3%,1993
Terminator Genisys,"$440,603,537","$89,760,956",20.4%,"$350,842,581",79.6%,2015
Warcraft,"$439,048,914","$47,365,290",10.8%,"$391,683,624",89.2%,2016
The Greatest Showman,"$436,949,634","$174,340,174",39.9%,"$262,609,460",60.1%,2017
A Star Is Born,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%,2018
