Title,Year,Google_Users,Google user ratings,movie description
The Jungle Book,2016,"['86% liked this film', 'Google users']","['4.5', '795 ratings']","['Description', 'Mowgli is a boy brought up in the jungle by a pack of wolves. When Shere Khan, a tiger, threatens to kill him, a panther and a bear help him escape his clutches.']"
Jumanji: Welcome to the Jungle,2017,"['89% liked this film', 'Google users']","['4.2', '6615 ratings']","['Description', 'When four students play with a magical video game, they are drawn to the jungle world of Jumanji, where they are trapped as their avatars. To return to the real world, they must finish the game.']"
The Hobbit: The Battle of the Five Armies,2014,"['85% liked this film', 'Google users']","['4.5', '650 ratings']","['Description', 'Bilbo fights against a number of enemies to save the life of his Dwarf friends and protects the Lonely Mountain after a conflict arises.']"
Pirates of the Caribbean: At World's End,2007,"['92% liked this film', 'Google users']","['4.8', '737 ratings']","['Description', 'As the East India Company gains untold power and persecutes pirates en masse, Will, Elizabeth and Captain Barbossa decide to bring Jack Sparrow back from the dead for one final battle.']"
The Hobbit: The Desolation of Smaug,2013,"['81% liked this film', 'Google users']","['4.6', '422 ratings']","['Description', 'Bilbo Baggins, a hobbit, and his companions face great dangers on their journey to Laketown. Soon, they reach the Lonely Mountain, where Bilbo comes face-to-face with the fearsome dragon Smaug.']"
The Lord of the Rings: The Two Towers,2002,"['89% liked this film', 'Google users']","['4.8', '896 ratings']","['Description', 'Frodo and Sam arrive in Mordor with the help of Gollum. A number of new allies join their former companions to defend Isengard as Saruman launches an assault from his domain.']"
Harry Potter and the Order of the Phoenix,2007,"['93% liked this film', 'Google users']","['4.7', '1576 ratings']","['Description', ""Harry Potter and Dumbledore's warning about the return of Lord Voldemort is not heeded by the wizard authorities who, in turn, look to undermine Dumbledore's authority at Hogwarts and discredit Harry.""]"
Finding Nemo,2003,"['90% liked this film', 'Google users']","['4.5', '1049 ratings']","['Description', 'After his son gets abducted from the Great Barrier Reef and is dispatched to Sydney, Marlin, a meek clownfish, enlists the help of a forgetful fish and embarks on a journey to bring him home.']"
Harry Potter and the Half-Blood Prince,2009,"['93% liked this film', 'Google users']","['4.7', '1522 ratings']","['Description', ""Dumbledore and Harry Potter learn more about Voldemort's past and his rise to power. Meanwhile, Harry stumbles upon an old potions textbook belonging to a person calling himself the Half-Blood Prince.""]"
Shrek 2,2004,"['90% liked this film', 'Google users']","['4.8', '1308 ratings']","['Description', 'When Shrek and Fiona return from their honeymoon, her parents, the rulers of Far Far Away, invite them over. But as the king does not like Shrek, he enlists a fairy to keep him away from his daughter.']"
Bohemian Rhapsody,2018,"['94% liked this film', 'Google users']","['4.8', '3595 ratings']","['Description', 'With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.']"
The Lord of the Rings: The Fellowship of the Ring,2001,"['88% liked this film', 'Google users']","['4.8', '3661 ratings']","['Description', 'A young hobbit, Frodo, who has found the One Ring that belongs to the Dark Lord Sauron, begins his journey with eight companions to Mount Doom, the only place where it can be destroyed.']"
Harry Potter and the Goblet of Fire,2005,"['92% liked this film', 'Google users']","['4.7', '2070 ratings']","['Description', 'When Harry is chosen as a fourth participant of the inter-school Triwizard Tournament, he is unwittingly pulled into a dark conspiracy that endangers his life.']"
The Battle at Lake Changjin,2021,"['65% liked this film', 'Google users']","['4.0', '169 ratings']","['Description', 'Chinese soldiers won the battle at Lake Changjin (also known as battle of Chosin Reservoir) in extreme weather conditions. The fight between the United States and China, which took place from November 27 to December 24 in 1950.']"
Spider-Man 3,2007,"['82% liked this film', 'Google users']","['4.3', '1822 ratings']","['Description', 'Peter Parker becomes one with a symbiotic alien that bolsters his Spider-Man avatar and affects his psyche. He also has to deal with Sandman and maintain a fragmented relationship with Mary Jane.']"
Ice Age: Dawn of the Dinosaurs,2009,"['89% liked this film', 'Google users']",[],"['Description', 'Manny and Ellie are expecting their first child, while Diego plans to move out. Meanwhile, Sid invites trouble by stealing some dinosaur eggs, causing the others to come and save him.']"
Spectre,2015,"['86% liked this film', 'Google users']","['3.7', '1089 ratings']","['Description', ""James Bond receives an obscure message from M about a sinister organisation, 'SPECTRE'. With the help of Madeleine, he uncovers the conspiracy, only to face an ugly truth.""]"
Spider-Man: Homecoming,2017,"['82% liked this film', 'Google users']","['4.2', '2570 ratings']","['Description', 'Peter Parker tries to stop the Vulture from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.']"
Harry Potter and the Chamber of Secrets,2002,"['91% liked this film', 'Google users']","['4.7', '2018 ratings']","['Description', 'A house-elf warns Harry against returning to Hogwarts, but he decides to ignore it. When students and creatures at the school begin to get petrified, Harry finds himself surrounded in mystery.']"
Ice Age: Continental Drift,2012,"['86% liked this film', 'Google users']","['4.4', '297 ratings']","['Description', 'Scrat causes a monumental disaster when his nut chasing leads to a continental drift. Once again, Manny, Diego and Sid experience an adventure while trying to return home.']"
The Secret Life of Pets,2016,"['85% liked this film', 'Google users']","['4.3', '521 ratings']","['Description', 'Max, a pet dog, is not very pleased when his master brings home another dog named Duke. However, they set aside their differences after they learn their owner is in danger.']"
Batman v Superman: Dawn of Justice,2016,"['75% liked this film', 'Google users']","['4.1', '4254 ratings']","['Description', 'Bruce Wayne, a billionaire, believes that Superman is a threat to humanity after his battle in Metropolis. Thus, he decides to adopt his mantle of Batman and defeat him once and for all.']"
Wolf Warrior 2,2017,"['78% liked this film', 'Google users']","['3.9', '113 ratings']","['Description', ""China's deadliest special forces operative settles into a quiet life on the sea, but when sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector.""]"
Star Wars: Episode III - Revenge of the Sith,2005,"['92% liked this film', 'Google users']","['4.8', '2898 ratings']","['Description', ""Anakin joins forces with Obi-Wan and sets Palpatine free from the evil clutches of Count Doku. However, he falls prey to Palpatine and the Jedis' mind games and gives into temptation.""]"
The Hunger Games: Catching Fire,2013,"['88% liked this film', 'Google users']","['4.7', '576 ratings']","['Description', ""After Katniss and Peeta's victory sparks hope and possible rebellion from the citizens of Panem, the two are targeted by the Capitol that wants to quell the revolution before it is too late.""]"
Guardians of the Galaxy Vol. 2,2017,"['89% liked this film', 'Google users']","['4.5', '998 ratings']","['Description', ""After a successful mission, Quill and his team of galactic defenders meet Ego, a man claiming to be Quill's father. However, they soon learn some disturbing truths about Ego.""]"
Inside Out,2015,"['89% liked this film', 'Google users']","['4.6', '2594 ratings']","['Description', 'Eleven-year-old Riley moves to San Francisco, leaving behind her life in Minnesota. She and her five core emotions, Fear, Anger, Joy, Disgust and Sadness, struggle to cope with her new life.']"
Venom,2018,"['87% liked this film', 'Google users']","['4.5', '4406 ratings']","['Description', 'While trying to take down Carlton, the CEO of Life Foundation, Eddie, a journalist, investigates experiments of human trials. Unwittingly, he gets merged with a symbiotic alien with lethal abilities.']"
Thor: Ragnarok,2017,['Did you like this film?'],"['4.6', '2631 ratings']","['Description', 'Deprived of his mighty hammer Mjolnir, Thor must escape the other side of the universe to save his home, Asgard, from Hela, the goddess of death.']"
Inception,2010,"['92% liked this film', 'Google users']","['4.8', '6603 ratings']","['Description', ""Cobb steals information from his targets by entering their dreams. Saito offers to wipe clean Cobb's criminal history as payment for performing an inception on his sick competitor's son.""]"
Transformers: Revenge of the Fallen,2009,"['82% liked this film', 'Google users']","['4.3', '561 ratings']","['Description', ""Sam leaves the Autobots to lead a normal life. However, the Decepticons target him and drag him back into the Transformers' war.""]"
The Twilight Saga: Breaking Dawn - Part 2,2012,"['82% liked this film', 'Google users']","['4.6', '821 ratings']","['Description', 'Bella is now a vampire and lives happily with Edward and her daughter, Renesmee. When someone misinforms the Volturi that Renesmee is immortal, they set out to kill the child and the culprit.']"
Spider-Man,2002,['Did you like this film?'],"['4.6', '1996 ratings']","['Description', ""Peter Parker's life changes when he is bitten by a genetically altered spider and gains superpowers. He uses his powers to help people and finds himself facing the Green Goblin, an evil maniac.""]"
Wonder Woman,2017,"['84% liked this film', 'Google users']",[],"['Description', 'Princess Diana of an all-female Amazonian race rescues US pilot Steve. Upon learning of a war, she ventures into the world of men to stop Ares, the god of war, from destroying mankind.']"
"Hi, Mom",2021,"['93% liked this film', 'Google users']","['4.6', '253 ratings']","['Description', ""Hi, Mom is a 2021 Chinese comedy film written and directed by Jia Ling and starring Jia Ling, Shen Teng, Chen He, and Zhang Xiaofei. It was released on 12 February 2021. The film's themes include familial love, maternal love, and filial piety."", 'Wikipedia']"
Independence Day,1996,"['89% liked this film', 'Google users']","['4.3', '428 ratings']","['Description', 'An alien race destroys major cities of the world with their advanced weaponry. However, a geek, a pilot, the US President and a group of ragtag survivors unite to save mankind from annihilation.']"
Fantastic Beasts and Where to Find Them,2016,"['84% liked this film', 'Google users']","['4.6', '1336 ratings']","['Description', ""While a strange dark force terrorises New York City, British magizoologist Newt Scamander enlists a non-magical Jacob's help to round up some escaped magical creatures.""]"
Shrek the Third,2007,"['81% liked this film', 'Google users']","['3.5', '598 ratings']","['Description', ""After Shrek's father-in-law King Harold becomes sick, Shrek is the next in line to take over. However, he tries to make Artie the king and takes help from Donkey and Puss in Boots.""]"
Coco,2017,"['91% liked this film', 'Google users']","['4.7', '6085 ratings']","['Description', ""Miguel pursues his love for singing in spite of his family's ban on music. He stumbles into the Land of the Dead, where he learns about his great-great-grandfather who was a legendary singer.""]"
Jumanji: The Next Level,2019,"['89% liked this film', 'Google users']","['4.2', '6615 ratings']","['Description', 'When four students play with a magical video game, they are drawn to the jungle world of Jumanji, where they are trapped as their avatars. To return to the real world, they must finish the game.']"
Harry Potter and the Prisoner of Azkaban,2004,"['92% liked this film', 'Google users']","['4.8', '2657 ratings']","['Description', 'Harry, Ron and Hermoine return to Hogwarts just as they learn about Sirius Black and his plans to kill Harry. However, when Harry runs into him, he learns that the truth is far from reality.']"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"['89% liked this film', 'Google users']","['4.5', '1434 ratings']","['Description', 'To break the curse of Flying Dutchman, Captain Jack Sparrow and Henry Turner embark on a mission to find the Trident of Poseidon. They also try to stop Captain Salazar who intends to rule the seas.']"
E.T. the Extra-Terrestrial,1982,"['83% liked this film', 'Google users']","['4.5', '875 ratings']","['Description', 'An alien is left behind on Earth and is saved by young Elliot who decides to keep him hidden. While the task force hunts for it, Elliot and his siblings form an emotional bond with their new friend.']"
Mission: Impossible - Fallout,2018,"['89% liked this film', 'Google users']","['4.7', '1257 ratings']","['Description', 'A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.']"
2012,2009,"['84% liked this film', 'Google users']","['4.1', '1493 ratings']","['Description', ""It's the end of the world and only a select few millionaires were warned while the rest of the people are left to fend for themselves. Writer Curtis is one such man who struggles to save his family.""]"
Indiana Jones and the Kingdom of the Crystal Skull,2008,"['79% liked this film', 'Google users']","['3.7', '394 ratings']","['Description', 'Indiana Jones, a renowned archaeologist and explorer, teams up with a young man, Mutt Williams, in order to unearth the mystery behind the legendary crystal skulls.']"
Spider-Man 2,2004,"['86% liked this film', 'Google users']","['4.7', '1586 ratings']","['Description', 'Peter Parker is dissatisfied with life when he loses his job, the love of his life, Mary Jane, and his powers. Amid all the chaos, he must fight Doctor Octavius who threatens to destroy New York City.']"
Fast & Furious 6,2013,"['88% liked this film', 'Google users']","['4.6', '510 ratings']","['Description', 'Hobbs is tasked with catching a team of mercenary drivers who manage to evade him every time. However, he enlists the help of Dominic and his team in exchange for full pardons for their past crimes.']"
Deadpool 2,2018,"['89% liked this film', 'Google users']","['4.6', '1327 ratings']","['Description', 'Deadpool protects a young mutant Russell from the authorities and gets thrown in prison. However, he escapes and forms a team of mutants to prevent a time-travelling mercenary from killing Russell.']"
Deadpool,2016,"['88% liked this film', 'Google users']","['4.7', '2157 ratings']","['Description', 'Ajax, a twisted scientist, experiments on Wade Wilson, a mercenary, to cure him of cancer and give him healing powers. However, the experiment leaves Wade disfigured and he decides to exact revenge.']"
Star Wars: Episode IV - A New Hope,1977,"['91% liked this film', 'Google users']","['4.6', '2333 ratings']","['Description', 'Princess Leia gets abducted by the insidious Darth Vader. Luke Skywalker then teams up with a Jedi Knight, a pilot and two droids to free her and to save the galaxy from the violent Galactic Empire.']"
Guardians of the Galaxy,2014,"['89% liked this film', 'Google users']","['4.7', '1666 ratings']","['Description', 'Peter escapes from the planet Morag with a valuable orb that Ronan the Accuser wants. He eventually forms a group with unwilling heroes to stop Ronan.']"
The Da Vinci Code,2006,"['87% liked this film', 'Google users']","['4.4', '777 ratings']","['Description', 'Symbologist Robert Langdon travels from Paris to London to unravel a bizarre murder. Accompanied by a cryptographer, he soon comes across a religious enigma protected by an age-old secret society.']"
Fast & Furious Presents: Hobbs & Shaw,2019,"['82% liked this film', 'Google users']","['4.0', '2623 ratings']","['Description', 'US agent Luke Hobbs and British mercenary Deckard Shaw are forced to put their rivalry side and work together to stop a genetically enhanced supervillain.']"
Maleficent,2014,"['89% liked this film', 'Google users']","['4.6', '1489 ratings']","['Description', 'Maleficent is a kind-hearted fairy, who is deceived by the love of her life, Stefan. Soon, she places a curse on his daughter, Aurora, in order to exact revenge.']"
The Amazing Spider-Man,2012,"['79% liked this film', 'Google users']","['4.4', '1726 ratings']","['Description', 'Peter Parker, an outcast high school student, gets bitten by a radioactive spider and attains superpowers. Soon, he is forced to use his abilities to fight a monstrous foe.']"
No Time to Die,2021,"['89% liked this film', 'Google users']",[],"['Description', 'James Bond is enjoying a tranquil life in Jamaica after leaving active service. However, his peace is short-lived as his old CIA friend, Felix Leiter, shows up and asks for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond on the trail', "" of a mysterious villain who's armed with a dangerous new technology."", '…&nbsp;', 'MORE']"
The Hunger Games: Mockingjay - Part 1,2014,"['86% liked this film', 'Google users']",[],"['Description', 'After putting a permanent end to the games, Katniss Everdeen, Gale, Finnick and Beetee join forces to save Peeta and a nation that she has inspired by her courage.']"
Shrek Forever After,2010,"['85% liked this film', 'Google users']","['4.3', '663 ratings']","['Description', 'When Shrek realises that no one fears him, Rumpel offers him a shady deal. Thereafter, Shrek gets cast in an alternate reality where everybody is afraid of him but Fiona does not remember him.']"
Madagascar 3: Europe's Most Wanted,2012,"['87% liked this film', 'Google users']","['4.4', '351 ratings']","['Description', 'To get back home and evade capture by Animal Control, Alex, Marty, Gloria and Melman embark on a riotous adventure as they join a travelling circus.']"
Suicide Squad,2016,"['76% liked this film', 'Google users']","['3.8', '3523 ratings']","['Description', 'Amanda Waller assembles a team of imprisoned supervillains to execute dangerous black ops missions. When an ancient witch threatens to destroy mankind, the squad is sent to stop her.']"
X-Men: Days of Future Past,2014,"['86% liked this film', 'Google users']","['4.7', '678 ratings']","['Description', 'Wolverine travels back in time to stop Mystique from assassinating Bolivar Trask, whose death leads to the creation of the Sentinels, which are robots designed to kill mutants.']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"['90% liked this film', 'Google users']","['4.7', '1263 ratings']","['Description', 'While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realise that it was fated and they must now unite with Aslan to defeat an evil queen.']"
Monsters University,2013,"['89% liked this film', 'Google users']","['4.5', '563 ratings']","['Description', 'Mike and Sulley, two monsters, join Monsters University in order to graduate as the scariest monsters on the planet. While they are arch-rivals, gradually, they become best friends.']"
The Matrix Reloaded,2003,"['87% liked this film', 'Google users']","['4.3', '431 ratings']","['Description', ""At the Oracle's behest, Neo attempts to rescue the Keymaker and realises that to save Zion within 72 hours, he must confront the Architect. Meanwhile, Zion prepares for war against the machines.""]"
