Title,Year,google_use_like,google_use_score,google_use_n_rev,movie_description,imdb_score,rotten_tom_score,metacritic_score,id
Ice Age: Continental Drift,2012,0.86,0.8800000000000001,297.0,"Scrat causes a monumental disaster when his nut chasing leads to a continental drift. Once again, Manny, Diego and Sid experience an adventure while trying to return home.",0.65,0.37,,Ice Age: Continental Drift-2012
The Secret Life of Pets,2016,0.85,0.86,521.0,"Max, a pet dog, is not very pleased when his master brings home another dog named Duke. However, they set aside their differences after they learn their owner is in danger.",0.65,0.72,0.61,The Secret Life of Pets-2016
Batman v Superman: Dawn of Justice,2016,0.75,0.82,4254.0,"Bruce Wayne, a billionaire, believes that Superman is a threat to humanity after his battle in Metropolis. Thus, he decides to adopt his mantle of Batman and defeat him once and for all.",0.64,0.29,,Batman v Superman: Dawn of Justice-2016
Wolf Warrior 2,2017,0.78,0.78,113.0,"China's deadliest special forces operative settles into a quiet life on the sea, but when sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector.",0.6,0.69,,Wolf Warrior 2-2017
Star Wars: Episode III - Revenge of the Sith,2005,0.92,0.96,2898.0,"Anakin joins forces with Obi-Wan and sets Palpatine free from the evil clutches of Count Doku. However, he falls prey to Palpatine and the Jedis' mind games and gives into temptation.",0.75,0.8,,Star Wars: Episode III - Revenge of the Sith-2005
The Hunger Games: Catching Fire,2013,0.88,0.9400000000000001,576.0,"After Katniss and Peeta's victory sparks hope and possible rebellion from the citizens of Panem, the two are targeted by the Capitol that wants to quell the revolution before it is too late.",0.75,0.9,0.76,The Hunger Games: Catching Fire-2013
Guardians of the Galaxy Vol. 2,2017,0.89,0.9,998.0,"After a successful mission, Quill and his team of galactic defenders meet Ego, a man claiming to be Quill's father. However, they soon learn some disturbing truths about Ego.",0.76,0.85,0.67,Guardians of the Galaxy Vol. 2-2017
Inside Out,2015,0.89,0.9199999999999999,2594.0,"Eleven-year-old Riley moves to San Francisco, leaving behind her life in Minnesota. She and her five core emotions, Fear, Anger, Joy, Disgust and Sadness, struggle to cope with her new life.",0.8099999999999999,0.98,,Inside Out-2015
Venom,2018,0.87,0.9,4406.0,"While trying to take down Carlton, the CEO of Life Foundation, Eddie, a journalist, investigates experiments of human trials. Unwittingly, he gets merged with a symbiotic alien with lethal abilities.",0.67,0.3,0.35,Venom-2018
Thor: Ragnarok,2017,,0.9199999999999999,2631.0,"Deprived of his mighty hammer Mjolnir, Thor must escape the other side of the universe to save his home, Asgard, from Hela, the goddess of death.",0.79,0.93,,Thor: Ragnarok-2017
Inception,2010,0.92,0.96,6603.0,Cobb steals information from his targets by entering their dreams. Saito offers to wipe clean Cobb's criminal history as payment for performing an inception on his sick competitor's son.,0.8800000000000001,0.87,,Inception-2010
Transformers: Revenge of the Fallen,2009,0.82,0.86,561.0,"Sam leaves the Autobots to lead a normal life. However, the Decepticons target him and drag him back into the Transformers' war.",0.6,0.2,,Transformers: Revenge of the Fallen-2009
The Twilight Saga: Breaking Dawn - Part 2,2012,0.82,0.9199999999999999,821.0,"Bella is now a vampire and lives happily with Edward and her daughter, Renesmee. When someone misinforms the Volturi that Renesmee is immortal, they set out to kill the child and the culprit.",0.55,0.49,,The Twilight Saga: Breaking Dawn - Part 2-2012
Spider-Man,2002,,0.9199999999999999,1996.0,"Peter Parker's life changes when he is bitten by a genetically altered spider and gains superpowers. He uses his powers to help people and finds himself facing the Green Goblin, an evil maniac.",0.73,0.9,,Spider-Man-2002
"Hi, Mom",2021,0.93,0.9199999999999999,253.0,"Hi, Mom is a 2021 Chinese comedy film written and directed by Jia Ling and starring Jia Ling, Shen Teng, Chen He, and Zhang Xiaofei. It was released on 12 February 2021. The film's themes include familial love, maternal love, and filial piety.",,,,"Hi, Mom-2021"
Independence Day,1996,0.89,0.86,428.0,"An alien race destroys major cities of the world with their advanced weaponry. However, a geek, a pilot, the US President and a group of ragtag survivors unite to save mankind from annihilation.",0.7,0.68,0.59,Independence Day-1996
Fantastic Beasts and Where to Find Them,2016,0.84,0.9199999999999999,1336.0,"While a strange dark force terrorises New York City, British magizoologist Newt Scamander enlists a non-magical Jacob's help to round up some escaped magical creatures.",0.73,0.74,,Fantastic Beasts and Where to Find Them-2016
Shrek the Third,2007,0.81,0.7,598.0,"After Shrek's father-in-law King Harold becomes sick, Shrek is the next in line to take over. However, he tries to make Artie the king and takes help from Donkey and Puss in Boots.",0.61,0.42,,Shrek the Third-2007
Coco,2017,0.91,0.9400000000000001,6085.0,"Miguel pursues his love for singing in spite of his family's ban on music. He stumbles into the Land of the Dead, where he learns about his great-great-grandfather who was a legendary singer.",0.8400000000000001,0.97,,Coco-2017
Jumanji: The Next Level,2019,0.89,0.8400000000000001,6615.0,"When four students play with a magical video game, they are drawn to the jungle world of Jumanji, where they are trapped as their avatars. To return to the real world, they must finish the game.",0.67,0.71,,Jumanji: The Next Level-2019
Harry Potter and the Prisoner of Azkaban,2004,0.92,0.96,2657.0,"Harry, Ron and Hermoine return to Hogwarts just as they learn about Sirius Black and his plans to kill Harry. However, when Harry runs into him, he learns that the truth is far from reality.",0.79,0.9,,Harry Potter and the Prisoner of Azkaban-2004
Pirates of the Caribbean: Dead Men Tell No Tales,2017,0.89,0.9,1434.0,"To break the curse of Flying Dutchman, Captain Jack Sparrow and Henry Turner embark on a mission to find the Trident of Poseidon. They also try to stop Captain Salazar who intends to rule the seas.",0.65,0.3,,Pirates of the Caribbean: Dead Men Tell No Tales-2017
E.T. the Extra-Terrestrial,1982,0.83,0.9,875.0,"An alien is left behind on Earth and is saved by young Elliot who decides to keep him hidden. While the task force hunts for it, Elliot and his siblings form an emotional bond with their new friend.",0.78,0.99,0.91,E.T. the Extra-Terrestrial-1982
Mission: Impossible - Fallout,2018,0.89,0.9400000000000001,1257.0,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.",0.77,0.97,,Mission: Impossible - Fallout-2018
2012,2009,0.84,0.82,1493.0,It's the end of the world and only a select few millionaires were warned while the rest of the people are left to fend for themselves. Writer Curtis is one such man who struggles to save his family.,0.58,0.39,0.49,2012-2009
